Product Name,Total Sold,Item Price
Product_1,74,64.43
Product_2,291,21.89
Product_3,410,23.24
Product_4,139,58.89
Product_5,276,31.98
Product_6,273,60.86
Product_7,262,57.1
Product_8,153,66.71
Product_9,9,72.8
Product_10,353,54.11
Product_11,487,69.7
Product_12,292,83.53
Product_13,34,79.41
Product_14,136,31.24
Product_15,61,78.15
Product_16,232,93.57
Product_17,68,28.93
Product_18,71,34.1
Product_19,335,18.44
Product_20,112,36.5
Product_21,295,87.53
Product_22,170,33.89
Product_23,472,12.76
Product_24,413,17.8
Product_25,94,15.89
Product_26,320,41.92
Product_27,46,85.1
Product_28,75,54.63
Product_29,372,43.9
Product_30,40,63.71
Product_31,218,90.19
Product_32,16,93.76
Product_33,452,83.82
Product_34,81,6.08
Product_35,47,61.88
Product_36,102,99.72
Product_37,227,57.42
Product_38,259,56.66
Product_39,459,99.84
Product_40,390,87.56
Product_41,85,94.31
Product_42,28,39.64
Product_43,7,91.54
Product_44,140,39.29
Product_45,107,75.18
Product_46,353,94.97
Product_47,309,43.4
Product_48,306,47.96
Product_49,170,27.47
Product_50,226,71.38
Product_51,496,20.47
Product_52,257,23.49
Product_53,259,31.23
Product_54,79,63.99
Product_55,178,43.84
Product_56,177,26.63
Product_57,113,57.45
Product_58,343,25.09
Product_59,450,60.9
Product_60,107,33.66
Product_61,63,88.88
Product_62,211,92.66
Product_63,307,86.77
Product_64,24,50.93
Product_65,197,5.62
Product_66,417,83.04
Product_67,97,59.73
Product_68,239,29.26
Product_69,463,82.81
Product_70,168,63.25
Product_71,219,43.86
Product_72,339,94.42
Product_73,396,80.42
Product_74,170,92.72
Product_75,106,91.42
Product_76,406,86.96
Product_77,470,35.54
Product_78,81,16.43
Product_79,6,38.11
Product_80,10,62.1
Product_81,121,16.11
Product_82,289,96.88
Product_83,423,24.19
Product_84,437,90.51
Product_85,287,89.49
Product_86,387,89.72
Product_87,196,77.05
Product_88,416,32.55
Product_89,257,9.68
Product_90,469,47.06
Product_91,283,57.56
Product_92,465,92.92
Product_93,223,55.91
Product_94,393,38.9
Product_95,406,7.14
Product_96,449,65.54
Product_97,434,31.91
Product_98,373,75.34
Product_99,194,23.93
Product_100,25,49.04
Product_101,307,40.14
Product_102,229,63.26
Product_103,368,34.36
Product_104,112,48.55
Product_105,133,90.99
Product_106,164,78.85
Product_107,33,53.85
